name,label
Fedex Corporation,"{""Supply_Chain_Management"": 24, ""Business_Model_Resilience"": 44, ""Systemic_Risk_Management"": 88, ""Management_Of_Legal_And_Regulatory_Framework"": 204, ""Product_Design_And_Lifecycle_Management"": 19, ""Customer_Privacy"": 4, ""Competitive_Behavior"": 30, ""Employee_Health_And_Safety"": 15, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Labor_Practices"": 37, ""Human_Rights_And_Community_Relations"": 2, ""Physical_Impacts_Of_Climate_Change"": 5, ""GHG_Emissions"": 7, ""Energy_Management"": 22, ""Air_Quality"": 6, ""Director_Removal"": 11, ""Customer_Welfare"": 11, ""Waste_And_Hazardous_Materials_Management"": 8, ""Critical_Incident_Risk_Management"": 1, ""Data_Security"": 11, ""Product_Quality_And_Safety"": 2, ""Business_Ethics"": 11}"
"Fidelity National Information Services, Inc.","{""Business_Model_Resilience"": 33, ""Systemic_Risk_Management"": 106, ""Competitive_Behavior"": 48, ""Physical_Impacts_Of_Climate_Change"": 2, ""Director_Removal"": 3, ""Management_Of_Legal_And_Regulatory_Framework"": 201, ""Employee_Health_And_Safety"": 3, ""Data_Security"": 17, ""Business_Ethics"": 30, ""Customer_Privacy"": 8, ""Product_Design_And_Lifecycle_Management"": 7, ""Labor_Practices"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Supply_Chain_Management"": 1, ""Energy_Management"": 1}"
Firstenergy Corp.,"{""Business_Model_Resilience"": 11, ""Management_Of_Legal_And_Regulatory_Framework"": 363, ""Competitive_Behavior"": 30, ""Energy_Management"": 54, ""Business_Ethics"": 37, ""GHG_Emissions"": 18, ""Systemic_Risk_Management"": 103, ""Supply_Chain_Management"": 9, ""Air_Quality"": 12, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""Labor_Practices"": 11, ""Employee_Health_And_Safety"": 6, ""Ecological_Impacts"": 2, ""Director_Removal"": 8, ""Physical_Impacts_Of_Climate_Change"": 8, ""Data_Security"": 10, ""Critical_Incident_Risk_Management"": 1, ""Waste_And_Hazardous_Materials_Management"": 7, ""Human_Rights_And_Community_Relations"": 1, ""Water_And_Wastewater_Management"": 5, ""Access_And_Affordability"": 1}"
Illinois Tool Works Inc.,"{""Systemic_Risk_Management"": 187, ""Business_Model_Resilience"": 15, ""Director_Removal"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Access_And_Affordability"": 1, ""Management_Of_Legal_And_Regulatory_Framework"": 195, ""Business_Ethics"": 17, ""Labor_Practices"": 6, ""Employee_Health_And_Safety"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Product_Design_And_Lifecycle_Management"": 1, ""Competitive_Behavior"": 23, ""Data_Security"": 4, ""Physical_Impacts_Of_Climate_Change"": 5, ""Energy_Management"": 1}"
"First Solar, Inc.","{""Physical_Impacts_Of_Climate_Change"": 1, ""Business_Model_Resilience"": 10, ""Management_Of_Legal_And_Regulatory_Framework"": 189, ""Competitive_Behavior"": 46, ""Energy_Management"": 57, ""Product_Design_And_Lifecycle_Management"": 63, ""Labor_Practices"": 9, ""Supply_Chain_Management"": 22, ""Systemic_Risk_Management"": 77, ""Product_Quality_And_Safety"": 4, ""Data_Security"": 6, ""GHG_Emissions"": 2, ""Waste_And_Hazardous_Materials_Management"": 6, ""Business_Ethics"": 19, ""Employee_Health_And_Safety"": 3, ""Director_Removal"": 5, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Critical_Incident_Risk_Management"": 2, ""Customer_Privacy"": 1}"
"Fiserv, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 161, ""Systemic_Risk_Management"": 127, ""Business_Model_Resilience"": 23, ""Data_Security"": 8, ""Supply_Chain_Management"": 2, ""Product_Design_And_Lifecycle_Management"": 20, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Human_Rights_And_Community_Relations"": 2, ""Access_And_Affordability"": 1, ""Competitive_Behavior"": 83, ""Business_Ethics"": 39, ""Customer_Privacy"": 2, ""Employee_Health_And_Safety"": 1, ""Director_Removal"": 5, ""Customer_Welfare"": 1, ""Labor_Practices"": 3}"
Fmc Corporation,"{""Business_Model_Resilience"": 14, ""Supply_Chain_Management"": 14, ""Employee_Health_And_Safety"": 5, ""GHG_Emissions"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""Selling_Practices_And_Product_Labeling"": 9, ""Customer_Welfare"": 8, ""Product_Design_And_Lifecycle_Management"": 27, ""Management_Of_Legal_And_Regulatory_Framework"": 226, ""Director_Removal"": 7, ""Business_Ethics"": 23, ""Ecological_Impacts"": 5, ""Competitive_Behavior"": 40, ""Product_Quality_And_Safety"": 4, ""Labor_Practices"": 8, ""Physical_Impacts_Of_Climate_Change"": 11, ""Systemic_Risk_Management"": 97, ""Critical_Incident_Risk_Management"": 1, ""Waste_And_Hazardous_Materials_Management"": 12, ""Data_Security"": 3, ""Energy_Management"": 2, ""Air_Quality"": 1}"
"Universal Health Services, Inc. Class B","{""Management_Of_Legal_And_Regulatory_Framework"": 111, ""Business_Ethics"": 34, ""Director_Removal"": 60, ""Systemic_Risk_Management"": 39, ""Data_Security"": 28, ""Product_Design_And_Lifecycle_Management"": 56, ""Energy_Management"": 34, ""Supply_Chain_Management"": 5, ""Competitive_Behavior"": 49, ""Air_Quality"": 10, ""Critical_Incident_Risk_Management"": 3, ""Labor_Practices"": 21, ""Business_Model_Resilience"": 11, ""Customer_Privacy"": 13, ""Employee_Engagement_Inclusion_And_Diversity"": 3, ""Access_And_Affordability"": 1, ""Selling_Practices_And_Product_Labeling"": 1, ""Ecological_Impacts"": 1}"
"Fortinet, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 175, ""Business_Ethics"": 21, ""Supply_Chain_Management"": 13, ""Product_Design_And_Lifecycle_Management"": 100, ""Competitive_Behavior"": 60, ""Systemic_Risk_Management"": 99, ""Data_Security"": 70, ""Customer_Welfare"": 1, ""Labor_Practices"": 27, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Employee_Health_And_Safety"": 5, ""Physical_Impacts_Of_Climate_Change"": 2, ""Business_Model_Resilience"": 19, ""Energy_Management"": 2, ""Customer_Privacy"": 8, ""Product_Quality_And_Safety"": 2, ""Waste_And_Hazardous_Materials_Management"": 3, ""Human_Rights_And_Community_Relations"": 1, ""Director_Removal"": 13, ""Critical_Incident_Risk_Management"": 2}"
Fortive Corporation,"{""Product_Design_And_Lifecycle_Management"": 45, ""Systemic_Risk_Management"": 93, ""Business_Model_Resilience"": 25, ""GHG_Emissions"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Employee_Health_And_Safety"": 9, ""Product_Quality_And_Safety"": 17, ""Management_Of_Legal_And_Regulatory_Framework"": 210, ""Business_Ethics"": 23, ""Competitive_Behavior"": 51, ""Data_Security"": 6, ""Physical_Impacts_Of_Climate_Change"": 3, ""Supply_Chain_Management"": 12, ""Customer_Privacy"": 4, ""Labor_Practices"": 10, ""Director_Removal"": 6, ""Waste_And_Hazardous_Materials_Management"": 2}"
Fox Corporation Class B,"{""Competitive_Behavior"": 83, ""Systemic_Risk_Management"": 69, ""Business_Model_Resilience"": 25, ""Human_Rights_And_Community_Relations"": 1, ""Management_Of_Legal_And_Regulatory_Framework"": 228, ""Critical_Incident_Risk_Management"": 2, ""Product_Design_And_Lifecycle_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Data_Security"": 13, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Access_And_Affordability"": 4, ""Business_Ethics"": 16, ""Customer_Privacy"": 6, ""Labor_Practices"": 8, ""Employee_Health_And_Safety"": 3, ""Director_Removal"": 5, ""Energy_Management"": 1, ""Customer_Welfare"": 2}"
"Franklin Resources, Inc.","{""Business_Model_Resilience"": 42, ""Systemic_Risk_Management"": 128, ""Director_Removal"": 11, ""Competitive_Behavior"": 38, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Management_Of_Legal_And_Regulatory_Framework"": 185, ""Product_Design_And_Lifecycle_Management"": 12, ""Data_Security"": 11, ""Customer_Privacy"": 2, ""Critical_Incident_Risk_Management"": 3, ""Business_Ethics"": 12, ""Employee_Health_And_Safety"": 1, ""Labor_Practices"": 5, ""Energy_Management"": 1}"
Garmin Ltd,"{""Management_Of_Legal_And_Regulatory_Framework"": 153, ""Business_Ethics"": 14, ""Systemic_Risk_Management"": 53, ""Product_Design_And_Lifecycle_Management"": 60, ""Employee_Health_And_Safety"": 7, ""Energy_Management"": 2, ""Air_Quality"": 1, ""Critical_Incident_Risk_Management"": 6, ""Physical_Impacts_Of_Climate_Change"": 4, ""Data_Security"": 6, ""Competitive_Behavior"": 37, ""Supply_Chain_Management"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Labor_Practices"": 13, ""Business_Model_Resilience"": 6, ""Customer_Privacy"": 3, ""Product_Quality_And_Safety"": 1, ""Director_Removal"": 15, ""Customer_Welfare"": 2}"
"Gartner, Inc.","{""Business_Model_Resilience"": 41, ""Systemic_Risk_Management"": 61, ""Management_Of_Legal_And_Regulatory_Framework"": 318, ""Employee_Engagement_Inclusion_And_Diversity"": 33, ""Customer_Privacy"": 5, ""Director_Removal"": 76, ""Labor_Practices"": 61, ""Product_Design_And_Lifecycle_Management"": 16, ""Data_Security"": 7, ""Business_Ethics"": 32, ""Human_Rights_And_Community_Relations"": 2, ""GHG_Emissions"": 3, ""Customer_Welfare"": 1, ""Competitive_Behavior"": 85, ""Employee_Health_And_Safety"": 8, ""Physical_Impacts_Of_Climate_Change"": 4, ""Energy_Management"": 4, ""Critical_Incident_Risk_Management"": 1, ""Ecological_Impacts"": 1}"
Generac Holdings Inc,"{""Energy_Management"": 52, ""Product_Design_And_Lifecycle_Management"": 86, ""Management_Of_Legal_And_Regulatory_Framework"": 150, ""Business_Ethics"": 15, ""Business_Model_Resilience"": 17, ""Product_Quality_And_Safety"": 5, ""Critical_Incident_Risk_Management"": 3, ""Physical_Impacts_Of_Climate_Change"": 3, ""Supply_Chain_Management"": 11, ""Competitive_Behavior"": 33, ""Employee_Health_And_Safety"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 2, ""Labor_Practices"": 4, ""Waste_And_Hazardous_Materials_Management"": 1, ""Data_Security"": 6, ""Systemic_Risk_Management"": 48, ""Selling_Practices_And_Product_Labeling"": 1, ""Ecological_Impacts"": 1, ""Director_Removal"": 4}"
General Dynamics Corporation,"{""Systemic_Risk_Management"": 58, ""Management_Of_Legal_And_Regulatory_Framework"": 110, ""Supply_Chain_Management"": 13, ""Product_Design_And_Lifecycle_Management"": 39, ""Energy_Management"": 7, ""Business_Model_Resilience"": 14, ""Critical_Incident_Risk_Management"": 7, ""Data_Security"": 12, ""Employee_Health_And_Safety"": 4, ""Waste_And_Hazardous_Materials_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 5, ""Competitive_Behavior"": 19, ""Business_Ethics"": 13, ""Employee_Engagement_Inclusion_And_Diversity"": 3, ""Labor_Practices"": 10, ""Customer_Welfare"": 1, ""Director_Removal"": 9, ""Product_Quality_And_Safety"": 1}"
Genuine Parts Company,"{""Systemic_Risk_Management"": 70, ""Business_Model_Resilience"": 27, ""Product_Design_And_Lifecycle_Management"": 41, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""Supply_Chain_Management"": 15, ""Director_Removal"": 9, ""Management_Of_Legal_And_Regulatory_Framework"": 122, ""Business_Ethics"": 14, ""Competitive_Behavior"": 21, ""Customer_Welfare"": 2, ""Energy_Management"": 3, ""Human_Rights_And_Community_Relations"": 3, ""Employee_Health_And_Safety"": 3, ""Data_Security"": 9, ""Labor_Practices"": 5, ""Physical_Impacts_Of_Climate_Change"": 1, ""GHG_Emissions"": 2, ""Product_Quality_And_Safety"": 1}"
Gen Digital Inc.,"{""Business_Model_Resilience"": 26, ""Product_Design_And_Lifecycle_Management"": 20, ""Data_Security"": 36, ""Product_Quality_And_Safety"": 5, ""Systemic_Risk_Management"": 67, ""Customer_Privacy"": 14, ""Management_Of_Legal_And_Regulatory_Framework"": 220, ""Competitive_Behavior"": 53, ""Director_Removal"": 71, ""Employee_Engagement_Inclusion_And_Diversity"": 22, ""Business_Ethics"": 35, ""Labor_Practices"": 42, ""Employee_Health_And_Safety"": 4, ""Human_Rights_And_Community_Relations"": 2, ""Customer_Welfare"": 1, ""Physical_Impacts_Of_Climate_Change"": 2}"
Ge Healthcare Technologies Inc.,"{""Business_Model_Resilience"": 17, ""Access_And_Affordability"": 19, ""Product_Design_And_Lifecycle_Management"": 49, ""Supply_Chain_Management"": 15, ""Management_Of_Legal_And_Regulatory_Framework"": 242, ""Competitive_Behavior"": 44, ""Systemic_Risk_Management"": 95, ""Data_Security"": 16, ""Employee_Health_And_Safety"": 10, ""Customer_Welfare"": 6, ""Customer_Privacy"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Labor_Practices"": 11, ""Waste_And_Hazardous_Materials_Management"": 5, ""Product_Quality_And_Safety"": 24, ""Selling_Practices_And_Product_Labeling"": 4, ""Business_Ethics"": 24, ""Director_Removal"": 3, ""Critical_Incident_Risk_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 2, ""Energy_Management"": 2}"
Gilead Sciences Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 148, ""Business_Ethics"": 25, ""Systemic_Risk_Management"": 61, ""Customer_Privacy"": 5, ""Business_Model_Resilience"": 7, ""Access_And_Affordability"": 25, ""Customer_Welfare"": 17, ""Product_Quality_And_Safety"": 21, ""Selling_Practices_And_Product_Labeling"": 7, ""Product_Design_And_Lifecycle_Management"": 45, ""Competitive_Behavior"": 62, ""Data_Security"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Employee_Health_And_Safety"": 6, ""Labor_Practices"": 9, ""Supply_Chain_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Critical_Incident_Risk_Management"": 2, ""Ecological_Impacts"": 1, ""Director_Removal"": 1}"
"Global Payments, Inc.","{""Management_Of_Legal_And_Regulatory_Framework"": 237, ""Competitive_Behavior"": 56, ""Business_Ethics"": 32, ""Business_Model_Resilience"": 15, ""Systemic_Risk_Management"": 108, ""Physical_Impacts_Of_Climate_Change"": 4, ""Data_Security"": 13, ""Employee_Engagement_Inclusion_And_Diversity"": 8, ""Customer_Privacy"": 8, ""Employee_Health_And_Safety"": 2, ""Labor_Practices"": 5, ""Supply_Chain_Management"": 1, ""Access_And_Affordability"": 1, ""Director_Removal"": 2}"
Globe Life Inc.,"{""Management_Of_Legal_And_Regulatory_Framework"": 161, ""Competitive_Behavior"": 26, ""Business_Ethics"": 29, ""Business_Model_Resilience"": 17, ""Access_And_Affordability"": 8, ""Systemic_Risk_Management"": 180, ""Labor_Practices"": 9, ""Employee_Engagement_Inclusion_And_Diversity"": 11, ""Customer_Privacy"": 2, ""Human_Rights_And_Community_Relations"": 1, ""Employee_Health_And_Safety"": 5, ""Critical_Incident_Risk_Management"": 2, ""Product_Design_And_Lifecycle_Management"": 1, ""Physical_Impacts_Of_Climate_Change"": 2, ""Data_Security"": 4, ""Product_Quality_And_Safety"": 1, ""Director_Removal"": 7}"
Halliburton Company,"{""Human_Rights_And_Community_Relations"": 15, ""Systemic_Risk_Management"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 37, ""Supply_Chain_Management"": 12, ""Product_Design_And_Lifecycle_Management"": 10, ""Business_Model_Resilience"": 10, ""Energy_Management"": 18, ""GHG_Emissions"": 14, ""Director_Removal"": 7, ""Management_Of_Legal_And_Regulatory_Framework"": 15, ""Data_Security"": 5, ""Employee_Health_And_Safety"": 20, ""Business_Ethics"": 13, ""Labor_Practices"": 7, ""Physical_Impacts_Of_Climate_Change"": 6, ""Water_And_Wastewater_Management"": 4, ""Air_Quality"": 1, ""Waste_And_Hazardous_Materials_Management"": 4, ""Ecological_Impacts"": 4, ""Product_Quality_And_Safety"": 3, ""Access_And_Affordability"": 10, ""Competitive_Behavior"": 3, ""Critical_Incident_Risk_Management"": 1}"
"Hasbro, Inc.","{""Business_Model_Resilience"": 22, ""Competitive_Behavior"": 65, ""Management_Of_Legal_And_Regulatory_Framework"": 232, ""Human_Rights_And_Community_Relations"": 5, ""GHG_Emissions"": 2, ""Labor_Practices"": 9, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Systemic_Risk_Management"": 75, ""Supply_Chain_Management"": 12, ""Product_Design_And_Lifecycle_Management"": 110, ""Data_Security"": 5, ""Customer_Welfare"": 4, ""Energy_Management"": 2, ""Physical_Impacts_Of_Climate_Change"": 1, ""Employee_Health_And_Safety"": 3, ""Access_And_Affordability"": 1, ""Product_Quality_And_Safety"": 9, ""Customer_Privacy"": 2, ""Director_Removal"": 7, ""Selling_Practices_And_Product_Labeling"": 1, ""Business_Ethics"": 15}"
"Healthpeak Properties, Inc.","{""Access_And_Affordability"": 7, ""Systemic_Risk_Management"": 159, ""Business_Model_Resilience"": 47, ""Competitive_Behavior"": 51, ""Management_Of_Legal_And_Regulatory_Framework"": 239, ""Energy_Management"": 7, ""GHG_Emissions"": 3, ""Business_Ethics"": 18, ""Product_Quality_And_Safety"": 2, ""Employee_Health_And_Safety"": 3, ""Director_Removal"": 4, ""Air_Quality"": 1, ""Customer_Welfare"": 1, ""Data_Security"": 7, ""Waste_And_Hazardous_Materials_Management"": 4, ""Physical_Impacts_Of_Climate_Change"": 7, ""Employee_Engagement_Inclusion_And_Diversity"": 7, ""Labor_Practices"": 5, ""Critical_Incident_Risk_Management"": 1, ""Customer_Privacy"": 2, ""Supply_Chain_Management"": 2, ""Ecological_Impacts"": 2}"
Henry (Jack) & Associates,"{""Human_Rights_And_Community_Relations"": 18, ""Business_Model_Resilience"": 58, ""Management_Of_Legal_And_Regulatory_Framework"": 197, ""GHG_Emissions"": 17, ""Physical_Impacts_Of_Climate_Change"": 23, ""Systemic_Risk_Management"": 81, ""Employee_Engagement_Inclusion_And_Diversity"": 67, ""Business_Ethics"": 20, ""Energy_Management"": 12, ""Competitive_Behavior"": 34, ""Supply_Chain_Management"": 13, ""Ecological_Impacts"": 14, ""Access_And_Affordability"": 10, ""Employee_Health_And_Safety"": 24, ""Data_Security"": 6, ""Director_Removal"": 59, ""Product_Design_And_Lifecycle_Management"": 4, ""Labor_Practices"": 26, ""Air_Quality"": 2, ""Waste_And_Hazardous_Materials_Management"": 1, ""Customer_Privacy"": 1}"
Henry Schein Inc,"{""Business_Model_Resilience"": 27, ""Product_Design_And_Lifecycle_Management"": 75, ""Customer_Welfare"": 7, ""Competitive_Behavior"": 44, ""Systemic_Risk_Management"": 65, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Access_And_Affordability"": 12, ""Supply_Chain_Management"": 13, ""Director_Removal"": 11, ""Management_Of_Legal_And_Regulatory_Framework"": 174, ""Waste_And_Hazardous_Materials_Management"": 2, ""Data_Security"": 11, ""Selling_Practices_And_Product_Labeling"": 6, ""Product_Quality_And_Safety"": 9, ""Business_Ethics"": 33, ""Customer_Privacy"": 14, ""Labor_Practices"": 9, ""Employee_Health_And_Safety"": 2, ""Human_Rights_And_Community_Relations"": 1, ""Energy_Management"": 1}"
Hess Corporation,"{""Employee_Health_And_Safety"": 12, ""Systemic_Risk_Management"": 69, ""GHG_Emissions"": 63, ""Energy_Management"": 11, ""Physical_Impacts_Of_Climate_Change"": 12, ""Business_Model_Resilience"": 34, ""Management_Of_Legal_And_Regulatory_Framework"": 191, ""Ecological_Impacts"": 25, ""Human_Rights_And_Community_Relations"": 4, ""Supply_Chain_Management"": 6, ""Water_And_Wastewater_Management"": 6, ""Access_And_Affordability"": 1, ""Employee_Engagement_Inclusion_And_Diversity"": 6, ""Business_Ethics"": 15, ""Competitive_Behavior"": 32, ""Critical_Incident_Risk_Management"": 8, ""Director_Removal"": 6, ""Labor_Practices"": 5, ""Data_Security"": 3, ""Air_Quality"": 1, ""Waste_And_Hazardous_Materials_Management"": 1}"
Hewlett Packard Enterprise Company,"{""Management_Of_Legal_And_Regulatory_Framework"": 220, ""Systemic_Risk_Management"": 126, ""Competitive_Behavior"": 49, ""Product_Design_And_Lifecycle_Management"": 71, ""Supply_Chain_Management"": 18, ""Employee_Health_And_Safety"": 3, ""Business_Model_Resilience"": 33, ""Employee_Engagement_Inclusion_And_Diversity"": 13, ""Labor_Practices"": 12, ""Data_Security"": 18, ""Human_Rights_And_Community_Relations"": 1, ""Business_Ethics"": 19, ""Product_Quality_And_Safety"": 2, ""Director_Removal"": 4, ""Physical_Impacts_Of_Climate_Change"": 7, ""Critical_Incident_Risk_Management"": 1, ""GHG_Emissions"": 1, ""Energy_Management"": 4, ""Ecological_Impacts"": 2}"
Hilton Worldwide Holdings Inc.,"{""Business_Model_Resilience"": 30, ""Customer_Welfare"": 15, ""Systemic_Risk_Management"": 73, ""Product_Design_And_Lifecycle_Management"": 38, ""Supply_Chain_Management"": 36, ""Energy_Management"": 10, ""Management_Of_Legal_And_Regulatory_Framework"": 106, ""Employee_Engagement_Inclusion_And_Diversity"": 20, ""Product_Quality_And_Safety"": 12, ""Physical_Impacts_Of_Climate_Change"": 35, ""Competitive_Behavior"": 25, ""Labor_Practices"": 34, ""Critical_Incident_Risk_Management"": 4, ""Data_Security"": 2, ""Business_Ethics"": 28, ""Employee_Health_And_Safety"": 12, ""Human_Rights_And_Community_Relations"": 8, ""Director_Removal"": 39, ""GHG_Emissions"": 19, ""Ecological_Impacts"": 10, ""Waste_And_Hazardous_Materials_Management"": 16, ""Water_And_Wastewater_Management"": 6, ""Selling_Practices_And_Product_Labeling"": 3, ""Air_Quality"": 2}"
Hologic Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 223, ""Systemic_Risk_Management"": 70, ""Business_Ethics"": 20, ""Product_Design_And_Lifecycle_Management"": 77, ""Business_Model_Resilience"": 15, ""Competitive_Behavior"": 62, ""Access_And_Affordability"": 13, ""Employee_Health_And_Safety"": 29, ""Customer_Welfare"": 13, ""Ecological_Impacts"": 1, ""Waste_And_Hazardous_Materials_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 5, ""Energy_Management"": 2, ""Supply_Chain_Management"": 11, ""Product_Quality_And_Safety"": 11, ""Critical_Incident_Risk_Management"": 3, ""Customer_Privacy"": 4, ""Labor_Practices"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 10, ""Data_Security"": 4}"
"Honeywell International, Inc.","{""Business_Model_Resilience"": 26, ""Supply_Chain_Management"": 21, ""Product_Design_And_Lifecycle_Management"": 42, ""Systemic_Risk_Management"": 101, ""Energy_Management"": 4, ""GHG_Emissions"": 3, ""Employee_Engagement_Inclusion_And_Diversity"": 15, ""Business_Ethics"": 19, ""Employee_Health_And_Safety"": 12, ""Management_Of_Legal_And_Regulatory_Framework"": 176, ""Competitive_Behavior"": 27, ""Data_Security"": 8, ""Product_Quality_And_Safety"": 8, ""Waste_And_Hazardous_Materials_Management"": 3, ""Critical_Incident_Risk_Management"": 1, ""Labor_Practices"": 7, ""Selling_Practices_And_Product_Labeling"": 1, ""Customer_Privacy"": 2, ""Physical_Impacts_Of_Climate_Change"": 4, ""Director_Removal"": 4}"
Hormel Foods Corporation,"{""Customer_Welfare"": 28, ""Product_Design_And_Lifecycle_Management"": 24, ""Supply_Chain_Management"": 10, ""Business_Model_Resilience"": 12, ""Management_Of_Legal_And_Regulatory_Framework"": 106, ""GHG_Emissions"": 1, ""Human_Rights_And_Community_Relations"": 1, ""Competitive_Behavior"": 26, ""Systemic_Risk_Management"": 78, ""Business_Ethics"": 16, ""Employee_Engagement_Inclusion_And_Diversity"": 3, ""Employee_Health_And_Safety"": 3, ""Waste_And_Hazardous_Materials_Management"": 2, ""Labor_Practices"": 8, ""Physical_Impacts_Of_Climate_Change"": 3, ""Data_Security"": 1, ""Product_Quality_And_Safety"": 2, ""Director_Removal"": 7, ""Customer_Privacy"": 2, ""Selling_Practices_And_Product_Labeling"": 1, ""Energy_Management"": 1}"
Howmet Aerospace Inc.,"{""Product_Design_And_Lifecycle_Management"": 47, ""Competitive_Behavior"": 41, ""Business_Model_Resilience"": 14, ""GHG_Emissions"": 1, ""Systemic_Risk_Management"": 89, ""Management_Of_Legal_And_Regulatory_Framework"": 195, ""Business_Ethics"": 24, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Employee_Health_And_Safety"": 3, ""Labor_Practices"": 13, ""Director_Removal"": 8, ""Supply_Chain_Management"": 6, ""Data_Security"": 4, ""Physical_Impacts_Of_Climate_Change"": 2, ""Product_Quality_And_Safety"": 2, ""Waste_And_Hazardous_Materials_Management"": 2, ""Critical_Incident_Risk_Management"": 5, ""Energy_Management"": 2, ""Ecological_Impacts"": 1}"
Humana Inc.,"{""Systemic_Risk_Management"": 103, ""Access_And_Affordability"": 55, ""Customer_Welfare"": 5, ""Employee_Engagement_Inclusion_And_Diversity"": 16, ""Employee_Health_And_Safety"": 6, ""Business_Model_Resilience"": 15, ""Competitive_Behavior"": 44, ""Business_Ethics"": 39, ""Management_Of_Legal_And_Regulatory_Framework"": 252, ""Customer_Privacy"": 5, ""Director_Removal"": 8, ""Product_Design_And_Lifecycle_Management"": 7, ""Critical_Incident_Risk_Management"": 1, ""Labor_Practices"": 7, ""Human_Rights_And_Community_Relations"": 1, ""Physical_Impacts_Of_Climate_Change"": 2, ""Data_Security"": 7, ""Supply_Chain_Management"": 2, ""Energy_Management"": 2}"
"Huntington Ingalls Industries, Inc.","{""Systemic_Risk_Management"": 297, ""Human_Rights_And_Community_Relations"": 3, ""Business_Model_Resilience"": 27, ""Product_Design_And_Lifecycle_Management"": 12, ""Labor_Practices"": 6, ""Management_Of_Legal_And_Regulatory_Framework"": 190, ""Business_Ethics"": 26, ""Data_Security"": 22, ""Access_And_Affordability"": 3, ""Competitive_Behavior"": 38, ""Physical_Impacts_Of_Climate_Change"": 4, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""GHG_Emissions"": 1, ""Customer_Privacy"": 6, ""Energy_Management"": 2, ""Director_Removal"": 3}"
Idexx Laboratories Inc,"{""Management_Of_Legal_And_Regulatory_Framework"": 176, ""Business_Ethics"": 15, ""Director_Removal"": 6, ""Product_Quality_And_Safety"": 17, ""Customer_Welfare"": 22, ""Systemic_Risk_Management"": 84, ""Competitive_Behavior"": 61, ""Supply_Chain_Management"": 11, ""Employee_Health_And_Safety"": 10, ""Access_And_Affordability"": 6, ""Product_Design_And_Lifecycle_Management"": 68, ""Water_And_Wastewater_Management"": 4, ""Waste_And_Hazardous_Materials_Management"": 2, ""Selling_Practices_And_Product_Labeling"": 5, ""Employee_Engagement_Inclusion_And_Diversity"": 5, ""Labor_Practices"": 8, ""Business_Model_Resilience"": 20, ""Data_Security"": 10, ""Physical_Impacts_Of_Climate_Change"": 2, ""Customer_Privacy"": 6, ""Energy_Management"": 2}"
Idex Corporation,"{""Management_Of_Legal_And_Regulatory_Framework"": 135, ""Systemic_Risk_Management"": 80, ""Business_Ethics"": 11, ""Supply_Chain_Management"": 5, ""Business_Model_Resilience"": 18, ""Product_Design_And_Lifecycle_Management"": 31, ""Competitive_Behavior"": 26, ""Water_And_Wastewater_Management"": 6, ""Energy_Management"": 3, ""Employee_Health_And_Safety"": 5, ""Customer_Welfare"": 2, ""Air_Quality"": 1, ""Critical_Incident_Risk_Management"": 4, ""Product_Quality_And_Safety"": 8, ""Labor_Practices"": 6, ""Employee_Engagement_Inclusion_And_Diversity"": 9, ""Access_And_Affordability"": 1, ""Director_Removal"": 4, ""Data_Security"": 3, ""Physical_Impacts_Of_Climate_Change"": 2, ""Customer_Privacy"": 2, ""Ecological_Impacts"": 1}"
